attribution_id,campaign_id,audience_id,media_channel,timestamp,touchpoint_type,attribution_percent,benchmark
ATTR_000150,CAM_000099,AUD_000809,OOH,2025-04-24 03:15:45,Engagement,0.29,0.38
ATTR_000151,CAM_000366,AUD_001111,OOH,2025-01-24 08:43:25,Click,0.52,0.64
ATTR_000152,CAM_000233,AUD_000444,Streaming,2025-05-27 09:27:24,Comment,0.96,0.7
ATTR_000153,CAM_000346,AUD_000220,Social,2025-06-14 01:16:13,View,0.81,0.24
ATTR_000154,CAM_000195,AUD_000123,OOH,2025-07-30 20:53:04,Conversion,0.24,0.71
ATTR_000155,CAM_000146,AUD_000828,Digital,2025-05-09 06:43:14,Click,0.99,0.17
ATTR_000156,CAM_000168,AUD_000553,Retail,2025-05-02 10:27:28,Engagement,0.91,0.54
ATTR_000157,CAM_000127,AUD_000825,Social,2025-08-09 23:28:59,Comment,0.96,0.74
ATTR_000158,CAM_000357,AUD_000279,Print,2025-07-26 13:27:20,Engagement,0.61,0.5
ATTR_000159,CAM_000199,AUD_001165,Print,2025-07-20 21:22:29,Click,0.97,0.05
ATTR_000160,CAM_000148,AUD_000189,Radio,2025-03-26 03:44:25,Comment,0.73,0.47
ATTR_000161,CAM_000139,AUD_000886,OOH,2025-06-13 08:12:31,Share,0.63,0.45
ATTR_000162,CAM_000160,AUD_000927,Streaming,2025-08-04 11:35:38,Share,0.86,0.42
ATTR_000163,CAM_000383,AUD_000794,Retail,2025-04-26 09:05:15,Comment,0.56,0.53
ATTR_000164,CAM_000157,AUD_001149,Social,2025-07-11 10:11:05,Comment,0.98,0.06
ATTR_000165,CAM_000260,AUD_001032,TV,2025-04-05 07:47:20,Conversion,0.17,0.29
ATTR_000166,CAM_000341,AUD_000778,Retail,2025-06-08 21:35:20,View,0.83,0.21
ATTR_000167,CAM_000370,AUD_000727,Print,2025-03-25 16:18:30,Share,0.25,0.77
ATTR_000168,CAM_000395,AUD_000578,TV,2025-07-16 10:04:06,Conversion,0.42,0.72
ATTR_000169,CAM_000175,AUD_000654,Streaming,2025-03-17 06:17:37,Impression,0.78,0.5
ATTR_000170,CAM_000233,AUD_000284,Digital,2025-02-23 22:42:35,Conversion,0.19,0.79
ATTR_000171,CAM_000377,AUD_000665,Print,2025-07-13 20:47:56,View,0.39,0.34
ATTR_000172,CAM_000041,AUD_000853,OOH,2025-05-26 22:49:17,Engagement,0.6,0.65
ATTR_000173,CAM_000037,AUD_001018,Print,2025-01-07 19:06:03,Engagement,0.76,0.56
ATTR_000174,CAM_000113,AUD_000250,Retail,2025-05-17 11:09:19,Conversion,0.18,0.25
ATTR_000175,CAM_000251,AUD_000764,Print,2025-02-09 06:02:02,View,0.39,0.69
ATTR_000176,CAM_000354,AUD_000317,TV,2024-11-13 16:53:51,Engagement,0.93,0.1
ATTR_000177,CAM_000232,AUD_000286,TV,2025-08-17 04:33:02,Click,0.33,0.56
ATTR_000178,CAM_000384,AUD_000056,Radio,2025-05-27 06:34:11,Click,0.44,0.37
ATTR_000179,CAM_000304,AUD_000797,Social,2025-03-30 03:39:46,Conversion,0.39,0.37
ATTR_000180,CAM_000023,AUD_000743,Social,2025-08-12 11:18:31,Engagement,0.24,0.36
ATTR_000181,CAM_000204,AUD_000758,Retail,2025-06-13 22:58:50,Conversion,0.93,0.49
ATTR_000182,CAM_000028,AUD_000224,Streaming,2025-08-15 12:50:28,Engagement,0.14,0.76
ATTR_000183,CAM_000273,AUD_000258,Streaming,2025-07-10 11:34:46,View,0.97,0.37
ATTR_000184,CAM_000124,AUD_000889,TV,2025-05-23 19:36:19,Engagement,0.52,0.15
ATTR_000185,CAM_000238,AUD_000741,TV,2025-05-11 10:07:02,Engagement,0.81,0.1
ATTR_000186,CAM_000316,AUD_000914,Digital,2025-07-27 16:55:23,Impression,0.59,0.46
ATTR_000187,CAM_000055,AUD_000497,Digital,2025-07-13 13:47:05,Share,0.82,0.79
ATTR_000188,CAM_000264,AUD_000971,Radio,2025-07-04 11:55:10,Impression,0.99,0.54
ATTR_000189,CAM_000298,AUD_000055,TV,2025-08-20 00:34:44,Impression,0.46,0.28
ATTR_000190,CAM_000266,AUD_000293,Retail,2025-06-12 22:35:24,Share,0.29,0.3
ATTR_000191,CAM_000143,AUD_000556,Email,2025-07-21 05:51:01,Click,0.61,0.4
ATTR_000192,CAM_000098,AUD_000092,TV,2025-06-06 20:03:44,Conversion,0.45,0.29
ATTR_000193,CAM_000248,AUD_001119,OOH,2025-05-26 14:19:06,Conversion,0.54,0.09
ATTR_000194,CAM_000050,AUD_000648,OOH,2025-01-24 19:34:19,Impression,0.95,0.52
ATTR_000195,CAM_000136,AUD_000421,Digital,2025-05-19 14:48:48,View,0.42,0.59
ATTR_000196,CAM_000311,AUD_000863,Print,2025-04-21 10:28:10,Share,0.58,0.48
ATTR_000197,CAM_000385,AUD_000991,Social,2025-04-26 21:22:37,View,0.67,0.78
ATTR_000198,CAM_000128,AUD_000491,OOH,2025-07-15 17:03:58,View,0.99,0.21
ATTR_000199,CAM_000287,AUD_000663,Print,2025-05-21 00:53:48,Engagement,0.4,0.28
ATTR_000200,CAM_000333,AUD_001161,TV,2024-12-08 20:33:42,Share,0.15,0.55
ATTR_000201,CAM_000245,AUD_000526,Social,2025-04-02 20:15:49,Engagement,0.41,0.65
ATTR_000202,CAM_000080,AUD_001008,TV,2025-05-06 16:32:14,Share,0.56,0.33
ATTR_000203,CAM_000378,AUD_000156,Print,2025-08-20 10:19:41,Engagement,0.81,0.31
ATTR_000204,CAM_000150,AUD_000470,Retail,2025-05-10 02:45:41,Comment,0.34,0.27
ATTR_000205,CAM_000224,AUD_000227,Streaming,2025-01-29 01:58:58,Engagement,0.83,0.12
ATTR_000206,CAM_000078,AUD_000485,TV,2025-05-07 16:27:53,Click,0.8,0.43
ATTR_000207,CAM_000080,AUD_001173,Email,2024-11-04 04:46:46,Comment,0.93,0.69
ATTR_000208,CAM_000109,AUD_000375,TV,2025-03-05 06:02:21,Click,0.74,0.16
ATTR_000209,CAM_000372,AUD_000732,OOH,2025-06-07 04:27:10,Impression,0.25,0.36
ATTR_000210,CAM_000091,AUD_000641,Radio,2025-08-04 15:30:18,Impression,0.58,0.14
ATTR_000211,CAM_000089,AUD_000287,Social,2025-06-03 04:25:55,View,0.88,0.13
ATTR_000212,CAM_000251,AUD_000785,Email,2025-01-07 11:03:47,Comment,0.43,0.69
ATTR_000213,CAM_000179,AUD_000124,Email,2025-06-17 20:58:09,Impression,0.34,0.54
ATTR_000214,CAM_000072,AUD_000594,Email,2025-01-15 20:54:25,Engagement,0.49,0.72
ATTR_000215,CAM_000353,AUD_000120,Streaming,2025-07-25 09:27:23,Impression,0.92,0.23
ATTR_000216,CAM_000137,AUD_000434,OOH,2025-07-13 23:13:08,Engagement,0.12,0.13
ATTR_000217,CAM_000111,AUD_001051,Digital,2025-06-29 06:33:57,Share,0.11,0.28
ATTR_000218,CAM_000152,AUD_000827,Social,2025-05-05 12:53:52,Impression,0.58,0.15
ATTR_000219,CAM_000046,AUD_000107,Streaming,2025-07-17 05:07:43,Engagement,0.86,0.5
ATTR_000220,CAM_000301,AUD_000345,TV,2025-04-14 03:15:40,Engagement,0.53,0.31
ATTR_000221,CAM_000251,AUD_000980,Digital,2025-02-26 15:26:11,Conversion,0.52,0.19
ATTR_000222,CAM_000111,AUD_000679,Print,2025-06-20 04:53:40,Impression,0.51,0.68
ATTR_000223,CAM_000302,AUD_000626,Print,2024-11-17 07:37:01,View,0.21,0.16
ATTR_000224,CAM_000263,AUD_001096,Retail,2025-01-12 01:17:18,Impression,0.27,0.61
ATTR_000225,CAM_000200,AUD_001192,Social,2025-07-02 18:43:21,Click,0.55,0.25
ATTR_000226,CAM_000374,AUD_000369,Print,2025-07-22 22:56:08,Conversion,0.86,0.41
ATTR_000227,CAM_000243,AUD_000373,OOH,2025-08-14 03:08:02,Conversion,0.11,0.41
ATTR_000228,CAM_000106,AUD_000385,Email,2024-12-07 08:30:01,Share,0.18,0.33
ATTR_000229,CAM_000245,AUD_000732,TV,2025-03-03 18:05:45,Engagement,0.6,0.57
ATTR_000230,CAM_000270,AUD_000857,Radio,2025-08-16 02:55:22,Impression,0.6,0.52
ATTR_000231,CAM_000059,AUD_000421,Radio,2025-07-03 08:18:03,Impression,0.46,0.35
ATTR_000232,CAM_000177,AUD_000303,Digital,2025-07-03 21:12:32,Conversion,0.61,0.75
ATTR_000233,CAM_000115,AUD_000508,Print,2025-07-25 01:03:51,Conversion,0.6,0.1
ATTR_000234,CAM_000025,AUD_000336,Radio,2025-05-14 15:42:19,Engagement,0.71,0.7
ATTR_000235,CAM_000270,AUD_000342,OOH,2025-09-01 06:57:21,Share,0.48,0.76
ATTR_000236,CAM_000312,AUD_000909,Streaming,2025-08-08 12:47:08,Impression,0.49,0.72
ATTR_000237,CAM_000274,AUD_000809,Social,2025-06-08 08:43:16,Click,0.98,0.4
ATTR_000238,CAM_000139,AUD_000034,Radio,2025-07-09 09:05:09,Impression,0.42,0.08
ATTR_000239,CAM_000279,AUD_000397,Retail,2025-07-07 20:18:48,Conversion,0.35,0.21
ATTR_000240,CAM_000066,AUD_001134,Radio,2025-08-08 08:43:03,Impression,0.35,0.72
ATTR_000241,CAM_000248,AUD_001159,Digital,2025-08-16 08:36:43,Conversion,0.75,0.41
ATTR_000242,CAM_000296,AUD_000344,Print,2025-05-30 03:23:20,Conversion,0.61,0.45
ATTR_000243,CAM_000064,AUD_000293,Streaming,2024-11-23 14:24:51,View,0.74,0.29
ATTR_000244,CAM_000274,AUD_000683,Social,2024-11-22 22:27:28,Comment,0.29,0.53
ATTR_000245,CAM_000355,AUD_000335,Radio,2025-07-15 18:12:32,Engagement,0.72,0.76
ATTR_000246,CAM_000198,AUD_000711,TV,2025-07-01 04:04:19,Comment,0.85,0.31
ATTR_000247,CAM_000331,AUD_000269,Radio,2025-04-12 09:47:44,Engagement,0.91,0.1
ATTR_000248,CAM_000271,AUD_000012,TV,2025-08-03 17:53:04,View,0.13,0.57
ATTR_000249,CAM_000057,AUD_000052,OOH,2025-08-27 15:41:11,Impression,0.91,0.18
ATTR_000250,CAM_000334,AUD_000099,TV,2025-04-12 03:36:18,Comment,0.66,0.09
ATTR_000251,CAM_000038,AUD_000285,Email,2025-08-19 09:58:54,View,0.5,0.52
ATTR_000252,CAM_000305,AUD_000622,Retail,2025-05-20 16:45:16,Comment,0.51,0.34
ATTR_000253,CAM_000400,AUD_000331,Digital,2025-07-21 14:59:46,Engagement,1.0,0.52
ATTR_000254,CAM_000146,AUD_000073,OOH,2025-07-09 13:08:55,Engagement,0.32,0.46
ATTR_000255,CAM_000115,AUD_000180,Email,2025-06-17 04:47:02,Engagement,0.88,0.24
ATTR_000256,CAM_000368,AUD_000746,Radio,2025-08-09 06:10:41,Comment,0.37,0.4
ATTR_000257,CAM_000213,AUD_000072,OOH,2025-05-14 15:06:18,Conversion,0.15,0.28
ATTR_000258,CAM_000227,AUD_000231,Digital,2025-07-03 13:17:49,Conversion,0.93,0.51
ATTR_000259,CAM_000394,AUD_000998,TV,2025-03-13 09:27:40,View,0.17,0.58
ATTR_000260,CAM_000074,AUD_000168,Radio,2025-05-07 15:16:58,Conversion,0.56,0.22
ATTR_000261,CAM_000142,AUD_000657,TV,2025-08-28 01:38:30,Share,0.89,0.61
ATTR_000262,CAM_000056,AUD_000759,Digital,2025-07-04 21:43:38,Click,0.98,0.18
ATTR_000263,CAM_000365,AUD_000664,Social,2025-08-06 08:30:25,Comment,0.26,0.08
ATTR_000264,CAM_000323,AUD_000188,Digital,2024-11-02 15:28:37,Share,0.55,0.67
ATTR_000265,CAM_000377,AUD_000639,Social,2025-04-30 06:09:44,Conversion,0.17,0.5
ATTR_000266,CAM_000004,AUD_000199,Streaming,2025-07-24 06:37:02,Click,0.56,0.61
ATTR_000267,CAM_000399,AUD_000202,OOH,2025-05-23 01:20:20,Click,0.87,0.25
ATTR_000268,CAM_000361,AUD_000534,Print,2025-03-31 08:14:10,Share,0.55,0.52
ATTR_000269,CAM_000359,AUD_001176,Radio,2025-02-01 11:49:51,Click,0.79,0.46
ATTR_000270,CAM_000388,AUD_000089,Email,2025-07-05 19:46:24,Comment,0.24,0.72
ATTR_000271,CAM_000262,AUD_000175,Radio,2025-05-13 12:20:54,Impression,0.24,0.46
ATTR_000272,CAM_000299,AUD_000164,Print,2025-03-19 07:00:16,Conversion,0.93,0.46
ATTR_000273,CAM_000358,AUD_000574,Streaming,2025-08-31 21:03:48,Conversion,0.59,0.77
ATTR_000274,CAM_000248,AUD_000008,TV,2025-05-28 22:31:36,View,0.96,0.33
ATTR_000275,CAM_000059,AUD_001177,OOH,2025-02-06 13:20:28,Engagement,0.11,0.39
