engagement_id,audience_id,channel_type,impressions,reach,frequency,engagement_rate
ENG_000144,AUD_000043,Social,13759,10826,1.27,0.0617
ENG_000145,AUD_000043,Streaming,28885,23081,1.25,0.0135
ENG_000146,AUD_000044,OOH,15575,10494,1.48,0.0096
ENG_000147,AUD_000044,Streaming,46201,33055,1.4,0.0187
ENG_000148,AUD_000045,Retail,914,662,1.38,0.0241
ENG_000149,AUD_000045,OOH,9186,8064,1.14,0.0162
ENG_000150,AUD_000045,Radio,3522,2167,1.63,0.0178
ENG_000151,AUD_000045,TV,143708,90896,1.58,0.0027
ENG_000152,AUD_000046,Streaming,21194,17422,1.22,0.005
ENG_000153,AUD_000046,Retail,1896,1231,1.54,0.0194
ENG_000154,AUD_000046,Radio,16977,11907,1.43,0.003
ENG_000155,AUD_000047,Radio,9293,7428,1.25,0.0035
ENG_000156,AUD_000047,Print,12002,8172,1.47,0.0066
ENG_000157,AUD_000048,Print,1404,901,1.56,0.0109
ENG_000158,AUD_000048,Email,3206,2239,1.43,0.0135
ENG_000159,AUD_000048,Digital,25938,19857,1.31,0.0276
ENG_000160,AUD_000049,Radio,18983,12360,1.54,0.0027
ENG_000161,AUD_000049,OOH,11787,7700,1.53,0.0243
ENG_000162,AUD_000050,Digital,43331,37214,1.16,0.0357
ENG_000163,AUD_000050,Streaming,23453,18648,1.26,0.0074
ENG_000164,AUD_000050,Print,9858,7404,1.33,0.0094
ENG_000165,AUD_000051,TV,144848,117038,1.24,0.0046
ENG_000166,AUD_000051,Streaming,34846,26975,1.29,0.0093
ENG_000167,AUD_000051,OOH,6518,4716,1.38,0.0055
ENG_000168,AUD_000051,Retail,1488,1262,1.18,0.0248
ENG_000169,AUD_000052,Streaming,49579,42985,1.15,0.0073
ENG_000170,AUD_000052,OOH,17583,13960,1.26,0.0214
ENG_000171,AUD_000053,Email,10741,8196,1.31,0.021
ENG_000172,AUD_000053,Print,5812,4295,1.35,0.0282
ENG_000173,AUD_000053,Social,20656,13165,1.57,0.0597
ENG_000174,AUD_000053,Digital,34954,30272,1.15,0.0231
ENG_000175,AUD_000053,Retail,1333,1164,1.15,0.0101
ENG_000176,AUD_000054,Streaming,24900,19121,1.3,0.0054
ENG_000177,AUD_000054,Radio,4116,2591,1.59,0.0028
ENG_000178,AUD_000054,Email,11310,9780,1.16,0.0073
ENG_000179,AUD_000054,Print,12773,9206,1.39,0.0265
ENG_000180,AUD_000055,Social,18797,12691,1.48,0.0629
ENG_000181,AUD_000055,Retail,601,491,1.22,0.0053
ENG_000182,AUD_000055,Streaming,43003,30891,1.39,0.0191
ENG_000183,AUD_000056,Streaming,28276,19621,1.44,0.0191
ENG_000184,AUD_000056,Social,9294,6019,1.54,0.0522
ENG_000185,AUD_000056,Print,15451,12978,1.19,0.0246
ENG_000186,AUD_000056,Email,16534,11829,1.4,0.01
ENG_000187,AUD_000056,TV,85288,67012,1.27,0.0076
ENG_000188,AUD_000057,Print,18664,15122,1.23,0.027
ENG_000189,AUD_000057,Email,17358,12949,1.34,0.0049
ENG_000190,AUD_000057,Social,2301,1690,1.36,0.0403
ENG_000191,AUD_000057,Digital,24143,20590,1.17,0.0121
ENG_000192,AUD_000057,TV,113203,96196,1.18,0.0073
ENG_000193,AUD_000058,Streaming,74624,66412,1.12,0.0072
ENG_000194,AUD_000058,TV,171097,143943,1.19,0.0022
ENG_000195,AUD_000058,Radio,10060,6587,1.53,0.011
ENG_000196,AUD_000058,Print,3121,2281,1.37,0.0245
ENG_000197,AUD_000059,Digital,33468,27635,1.21,0.0481
ENG_000198,AUD_000059,OOH,8665,6709,1.29,0.0103
ENG_000199,AUD_000059,Print,7071,4708,1.5,0.0201
ENG_000200,AUD_000060,Email,7281,6487,1.12,0.0192
ENG_000201,AUD_000060,Social,16054,12277,1.31,0.0456
ENG_000202,AUD_000060,OOH,1699,1263,1.35,0.0295
ENG_000203,AUD_000061,Retail,2402,1695,1.42,0.0275
ENG_000204,AUD_000061,Digital,47627,31876,1.49,0.0308
ENG_000205,AUD_000062,Social,24772,18031,1.37,0.0547
ENG_000206,AUD_000062,Streaming,34521,27697,1.25,0.0148
ENG_000207,AUD_000062,Print,11444,7722,1.48,0.0215
ENG_000208,AUD_000062,TV,64949,45714,1.42,0.0083
ENG_000209,AUD_000063,OOH,13286,7996,1.66,0.0172
ENG_000210,AUD_000063,Email,10749,8275,1.3,0.0201
ENG_000211,AUD_000064,Social,14636,11874,1.23,0.0449
ENG_000212,AUD_000064,Radio,3316,2226,1.49,0.0281
ENG_000213,AUD_000064,Email,11661,10186,1.14,0.0114
ENG_000214,AUD_000064,Print,9428,7219,1.31,0.0225
ENG_000215,AUD_000064,Retail,2776,2288,1.21,0.0057
ENG_000216,AUD_000065,Radio,7190,5841,1.23,0.0225
ENG_000217,AUD_000065,Email,3205,2260,1.42,0.0038
ENG_000218,AUD_000065,TV,158388,104924,1.51,0.0072
ENG_000219,AUD_000065,Streaming,24383,21364,1.14,0.0156
ENG_000220,AUD_000066,TV,180517,125023,1.44,0.002
ENG_000221,AUD_000066,Print,8549,7635,1.12,0.0244
ENG_000222,AUD_000067,Social,1321,1166,1.13,0.0401
ENG_000223,AUD_000067,Print,1997,1349,1.48,0.0152
ENG_000224,AUD_000067,OOH,17273,14938,1.16,0.0273
ENG_000225,AUD_000067,Digital,14218,9542,1.49,0.0154
ENG_000226,AUD_000067,Retail,4488,3828,1.17,0.0238
ENG_000227,AUD_000068,TV,106748,84329,1.27,0.0059
ENG_000228,AUD_000068,Social,5585,4215,1.33,0.0465
ENG_000229,AUD_000068,Print,18246,15414,1.18,0.02
ENG_000230,AUD_000068,Radio,19684,16239,1.21,0.0112
ENG_000231,AUD_000068,Streaming,50266,40334,1.25,0.0161
ENG_000232,AUD_000069,Digital,33916,27972,1.21,0.0479
ENG_000233,AUD_000069,Streaming,65458,44069,1.49,0.0178
ENG_000234,AUD_000069,TV,107005,66460,1.61,0.0038
ENG_000235,AUD_000069,OOH,7745,5201,1.49,0.0297
ENG_000236,AUD_000070,Email,6307,5627,1.12,0.0026
ENG_000237,AUD_000070,Print,15155,12421,1.22,0.0107
ENG_000238,AUD_000071,TV,75041,56493,1.33,0.0012
ENG_000239,AUD_000071,Email,14680,10119,1.45,0.0286
ENG_000240,AUD_000071,Streaming,22147,17789,1.24,0.0188
ENG_000241,AUD_000071,Retail,1556,965,1.61,0.0054
ENG_000242,AUD_000072,Retail,4956,3103,1.6,0.0023
ENG_000243,AUD_000072,TV,185737,126029,1.47,0.0048
ENG_000244,AUD_000073,Email,7020,5811,1.21,0.0092
ENG_000245,AUD_000073,OOH,19806,14725,1.35,0.0275
ENG_000246,AUD_000073,Retail,588,389,1.51,0.0047
ENG_000247,AUD_000073,Social,1675,1145,1.46,0.0587
ENG_000248,AUD_000073,Streaming,74956,50726,1.48,0.0159
ENG_000249,AUD_000074,Retail,3869,2740,1.41,0.0263
ENG_000250,AUD_000074,Digital,6363,4379,1.45,0.0258
ENG_000251,AUD_000074,TV,67206,40565,1.66,0.0036
ENG_000252,AUD_000074,Print,7529,4792,1.57,0.0108
ENG_000253,AUD_000075,OOH,16478,13642,1.21,0.03
ENG_000254,AUD_000075,Retail,1547,1243,1.24,0.0183
ENG_000255,AUD_000075,Streaming,56837,41319,1.38,0.0179
ENG_000256,AUD_000075,TV,171701,109741,1.56,0.0018
ENG_000257,AUD_000076,Streaming,74370,54071,1.38,0.016
ENG_000258,AUD_000076,OOH,13159,11309,1.16,0.0073
ENG_000259,AUD_000076,Radio,16741,12378,1.35,0.0032
ENG_000260,AUD_000076,Retail,2245,1755,1.28,0.0034
ENG_000261,AUD_000076,Social,19800,13205,1.5,0.0474
ENG_000262,AUD_000077,TV,174925,116753,1.5,0.0035
ENG_000263,AUD_000077,Retail,1457,1130,1.29,0.0103
ENG_000264,AUD_000077,OOH,17426,12598,1.38,0.0158
ENG_000265,AUD_000078,OOH,10193,6462,1.58,0.0171
ENG_000266,AUD_000078,Social,23465,14294,1.64,0.0777
ENG_000267,AUD_000079,Retail,3349,2889,1.16,0.0243
ENG_000268,AUD_000079,TV,183693,128481,1.43,0.0027
ENG_000269,AUD_000079,Streaming,23899,19840,1.2,0.0131
ENG_000270,AUD_000079,Radio,11659,7829,1.49,0.0123
ENG_000271,AUD_000079,OOH,5594,3411,1.64,0.0271
ENG_000272,AUD_000080,Social,15681,9790,1.6,0.0538
ENG_000273,AUD_000080,Email,9246,5633,1.64,0.0129
ENG_000274,AUD_000080,Retail,4731,3284,1.44,0.0132
ENG_000275,AUD_000080,Streaming,69780,42044,1.66,0.0197
ENG_000276,AUD_000081,Streaming,46582,30547,1.52,0.0153
ENG_000277,AUD_000081,Radio,12349,8739,1.41,0.0198
ENG_000278,AUD_000081,Email,12028,9943,1.21,0.0205
ENG_000279,AUD_000081,Social,9748,6674,1.46,0.0656
ENG_000280,AUD_000081,Retail,795,584,1.36,0.0282
ENG_000281,AUD_000082,OOH,18630,16610,1.12,0.018
ENG_000282,AUD_000082,Email,6398,5075,1.26,0.027
ENG_000283,AUD_000082,Radio,5437,4852,1.12,0.0242
ENG_000284,AUD_000082,Retail,756,621,1.22,0.0142
ENG_000285,AUD_000082,Print,5582,4486,1.24,0.0013
ENG_000286,AUD_000083,TV,82714,69040,1.2,0.0037
ENG_000287,AUD_000083,Retail,1365,1100,1.24,0.0116
ENG_000288,AUD_000083,Social,17114,13027,1.31,0.0209
ENG_000289,AUD_000083,Email,10158,6383,1.59,0.0267
ENG_000290,AUD_000084,Email,3681,2784,1.32,0.0085
ENG_000291,AUD_000084,Print,9959,6420,1.55,0.0136
ENG_000292,AUD_000084,Social,10579,7301,1.45,0.0768
ENG_000293,AUD_000084,OOH,17304,10690,1.62,0.0085
ENG_000294,AUD_000085,OOH,17452,12896,1.35,0.0236
ENG_000295,AUD_000085,Streaming,40268,27086,1.49,0.0099
ENG_000296,AUD_000085,TV,62322,50348,1.24,0.0069
ENG_000297,AUD_000085,Print,8344,6973,1.2,0.0018
ENG_000298,AUD_000085,Radio,9004,5765,1.56,0.0254
ENG_000299,AUD_000086,Email,2960,2446,1.21,0.0195
ENG_000300,AUD_000086,OOH,2869,1945,1.48,0.0289
ENG_000301,AUD_000086,Radio,17823,15947,1.12,0.0243
ENG_000302,AUD_000086,Digital,33987,26757,1.27,0.0451
ENG_000303,AUD_000086,Retail,4597,4045,1.14,0.0176
ENG_000304,AUD_000087,Print,1731,1185,1.46,0.0163
ENG_000305,AUD_000087,Digital,11899,10455,1.14,0.0372
ENG_000306,AUD_000087,OOH,2939,1845,1.59,0.0134
ENG_000307,AUD_000087,Social,10450,7038,1.48,0.0348
ENG_000308,AUD_000088,Radio,4175,3143,1.33,0.0046
ENG_000309,AUD_000088,Print,16195,11501,1.41,0.0033
ENG_000310,AUD_000088,OOH,16552,10213,1.62,0.0081
ENG_000311,AUD_000088,Digital,20861,18171,1.15,0.0284
ENG_000312,AUD_000089,Digital,49736,36839,1.35,0.0111
ENG_000313,AUD_000089,Radio,11833,7845,1.51,0.005
ENG_000314,AUD_000089,Social,3995,3446,1.16,0.0603
ENG_000315,AUD_000090,Streaming,54113,36653,1.48,0.0146
ENG_000316,AUD_000090,Email,4720,3670,1.29,0.0277
ENG_000317,AUD_000090,Print,1885,1492,1.26,0.0018
ENG_000318,AUD_000091,OOH,9121,7489,1.22,0.0198
ENG_000319,AUD_000091,Streaming,36725,22616,1.62,0.0055
ENG_000320,AUD_000092,Digital,25269,17168,1.47,0.0359
ENG_000321,AUD_000092,Streaming,65552,54752,1.2,0.0116
ENG_000322,AUD_000092,Radio,9006,7425,1.21,0.0116
ENG_000323,AUD_000093,Email,5459,3792,1.44,0.0133
ENG_000324,AUD_000093,Retail,1513,1285,1.18,0.0042
ENG_000325,AUD_000093,Radio,11245,9000,1.25,0.019
ENG_000326,AUD_000094,Retail,1198,910,1.32,0.0257
ENG_000327,AUD_000094,Digital,26590,18463,1.44,0.0275
ENG_000328,AUD_000094,Social,11378,8654,1.31,0.0293
ENG_000329,AUD_000094,Radio,18365,11720,1.57,0.0196
ENG_000330,AUD_000095,TV,131512,117078,1.12,0.0026
ENG_000331,AUD_000095,Streaming,35100,22466,1.56,0.0102
ENG_000332,AUD_000095,Digital,29277,22776,1.29,0.043
ENG_000333,AUD_000095,Retail,4687,2890,1.62,0.007
ENG_000334,AUD_000096,Digital,37495,26053,1.44,0.0449
ENG_000335,AUD_000096,TV,183295,114817,1.6,0.0072
ENG_000336,AUD_000096,Email,15780,13294,1.19,0.0115
ENG_000337,AUD_000096,OOH,10656,9309,1.14,0.0114
ENG_000338,AUD_000097,OOH,9293,6371,1.46,0.0274
ENG_000339,AUD_000097,Email,19530,14006,1.39,0.024
ENG_000340,AUD_000097,Social,9037,5514,1.64,0.0456
ENG_000341,AUD_000097,Print,2732,1679,1.63,0.0013
ENG_000342,AUD_000098,Print,15234,9715,1.57,0.0225
ENG_000343,AUD_000098,Retail,4247,3012,1.41,0.0116
ENG_000344,AUD_000098,OOH,7812,5851,1.34,0.0182
ENG_000345,AUD_000099,Retail,1324,849,1.56,0.0016
ENG_000346,AUD_000099,Print,9328,5664,1.65,0.0056
ENG_000347,AUD_000099,TV,144492,97674,1.48,0.0098
ENG_000348,AUD_000099,Email,7491,5849,1.28,0.0023
ENG_000349,AUD_000100,TV,172875,105336,1.64,0.0061
ENG_000350,AUD_000100,Social,14013,12410,1.13,0.0416
ENG_000351,AUD_000100,Streaming,23651,19204,1.23,0.0094
ENG_000352,AUD_000100,Radio,5075,4088,1.24,0.0234
ENG_000353,AUD_000100,Digital,19261,12317,1.56,0.0123
ENG_000354,AUD_000101,Retail,4665,4106,1.14,0.0085
ENG_000355,AUD_000101,Social,9763,8604,1.13,0.0476
ENG_000356,AUD_000101,Radio,19782,13990,1.41,0.0209
ENG_000357,AUD_000102,Print,17363,13499,1.29,0.0087
ENG_000358,AUD_000102,Streaming,64282,52568,1.22,0.01
ENG_000359,AUD_000102,Email,11036,8622,1.28,0.0227
ENG_000360,AUD_000103,Radio,4800,3129,1.53,0.022
ENG_000361,AUD_000103,OOH,4578,3423,1.34,0.0263
ENG_000362,AUD_000103,Email,5709,4178,1.37,0.0041
ENG_000363,AUD_000103,Retail,2372,1517,1.56,0.0052
ENG_000364,AUD_000104,TV,104701,75200,1.39,0.007
ENG_000365,AUD_000104,Digital,13476,10009,1.35,0.0141
ENG_000366,AUD_000104,Streaming,63563,55645,1.14,0.0091
ENG_000367,AUD_000104,Retail,749,621,1.21,0.009
ENG_000368,AUD_000105,Retail,3255,2601,1.25,0.0039
ENG_000369,AUD_000105,Print,6353,4864,1.31,0.0077
ENG_000370,AUD_000106,Streaming,55903,33651,1.66,0.007
ENG_000371,AUD_000106,TV,84408,64113,1.32,0.0064
ENG_000372,AUD_000107,OOH,12092,9387,1.29,0.0059
ENG_000373,AUD_000107,Retail,4808,4294,1.12,0.0285
ENG_000374,AUD_000108,Print,7759,6110,1.27,0.0102
ENG_000375,AUD_000108,OOH,9683,6440,1.5,0.0228
ENG_000376,AUD_000108,Social,21930,19702,1.11,0.0474
ENG_000377,AUD_000108,Digital,13728,11183,1.23,0.0308
ENG_000378,AUD_000108,Streaming,38304,29968,1.28,0.0165
ENG_000379,AUD_000109,Streaming,15382,9284,1.66,0.0107
ENG_000380,AUD_000109,Radio,17047,12483,1.37,0.0058
ENG_000381,AUD_000109,TV,117491,77322,1.52,0.0067
ENG_000382,AUD_000110,Email,13538,12067,1.12,0.0279
ENG_000383,AUD_000110,Print,12248,8144,1.5,0.0154
ENG_000384,AUD_000110,Retail,3458,3011,1.15,0.0148
ENG_000385,AUD_000110,Radio,4650,4142,1.12,0.0113
ENG_000386,AUD_000111,Email,3146,2412,1.3,0.0074
ENG_000387,AUD_000111,Social,22799,19218,1.19,0.0793
ENG_000388,AUD_000112,OOH,8632,6388,1.35,0.0256
ENG_000389,AUD_000112,Social,8462,5344,1.58,0.0278
ENG_000390,AUD_000113,Social,17947,12598,1.42,0.0736
ENG_000391,AUD_000113,Retail,1809,1456,1.24,0.0142
ENG_000392,AUD_000113,TV,147810,115581,1.28,0.0085
ENG_000393,AUD_000113,Radio,1878,1422,1.32,0.0129
ENG_000394,AUD_000113,Digital,6214,3728,1.67,0.0124
ENG_000395,AUD_000114,Digital,47939,37798,1.27,0.0134
ENG_000396,AUD_000114,TV,91057,80415,1.13,0.0021
ENG_000397,AUD_000114,Retail,2787,1962,1.42,0.0081
ENG_000398,AUD_000115,Print,7871,4900,1.61,0.0105
ENG_000399,AUD_000115,TV,185291,151285,1.22,0.0095
ENG_000400,AUD_000115,Streaming,25071,18504,1.35,0.0117
ENG_000401,AUD_000115,Email,1968,1297,1.52,0.0067
ENG_000402,AUD_000116,Print,10273,9057,1.13,0.0145
ENG_000403,AUD_000116,TV,53089,34549,1.54,0.0082
ENG_000404,AUD_000117,Streaming,68156,51387,1.33,0.0132
ENG_000405,AUD_000117,Social,17175,13652,1.26,0.0509
ENG_000406,AUD_000117,TV,177033,123456,1.43,0.0071
ENG_000407,AUD_000117,Print,12078,10687,1.13,0.0011
ENG_000408,AUD_000118,Streaming,48885,38403,1.27,0.0186
ENG_000409,AUD_000118,Retail,1941,1689,1.15,0.0123
ENG_000410,AUD_000118,Digital,45765,31457,1.45,0.0257
ENG_000411,AUD_000118,TV,166736,108944,1.53,0.0049
ENG_000412,AUD_000119,Streaming,27607,16890,1.63,0.0169
ENG_000413,AUD_000119,Email,8404,6684,1.26,0.0088
ENG_000414,AUD_000119,Digital,48393,33738,1.43,0.0118
ENG_000415,AUD_000119,Radio,9495,8279,1.15,0.0052
ENG_000416,AUD_000120,Print,7592,6510,1.17,0.0272
ENG_000417,AUD_000120,Retail,1373,999,1.37,0.0265
ENG_000418,AUD_000120,Radio,13375,9827,1.36,0.0291
ENG_000419,AUD_000120,Streaming,67883,52050,1.3,0.0152
ENG_000420,AUD_000120,Digital,49041,42327,1.16,0.0268
ENG_000421,AUD_000121,Email,3469,3078,1.13,0.0035
ENG_000422,AUD_000121,Radio,13952,11073,1.26,0.0282
ENG_000423,AUD_000121,Social,15998,12675,1.26,0.0787
ENG_000424,AUD_000121,Digital,23985,21223,1.13,0.0302
ENG_000425,AUD_000122,OOH,15893,11789,1.35,0.0031
ENG_000426,AUD_000122,Radio,6246,4269,1.46,0.0072
ENG_000427,AUD_000122,Streaming,24354,17762,1.37,0.009
