performance_id,campaign_id,segment_id,creative_id,media_channel,impressions,clicks,conversions,cost,ROI,CTR
PERF_000037,CAM_000292,SEG_001174,CRE_001168,Digital,87441,1274,34,251.21,19.12,0.0146
PERF_000038,CAM_000225,SEG_002013,CRE_000898,Print,1319,10,0,11.14,-1.0,0.008
PERF_000039,CAM_000247,SEG_000244,CRE_000986,Streaming,8977,51,1,160.55,0.1,0.0057
PERF_000040,CAM_000363,SEG_002164,CRE_001387,Print,36761,246,6,246.31,2.4,0.0067
PERF_000041,CAM_000319,SEG_001594,CRE_001255,OOH,80042,693,31,660.46,5.85,0.0087
PERF_000042,CAM_000104,SEG_002511,CRE_000416,Social,67253,599,10,636.29,0.8,0.0089
PERF_000043,CAM_000108,SEG_002099,CRE_000431,Email,95335,2754,85,793.89,6.76,0.0289
PERF_000044,CAM_000063,SEG_002101,CRE_000252,OOH,28576,381,14,278.16,2.29,0.0134
PERF_000045,CAM_000179,SEG_001552,CRE_000714,Digital,98357,631,14,486.57,4.01,0.0064
PERF_000046,CAM_000386,SEG_002471,CRE_001456,Social,63904,1014,30,787.78,2.96,0.0159
PERF_000047,CAM_000297,SEG_000467,CRE_001188,Email,4285,69,2,40.23,5.94,0.0163
PERF_000048,CAM_000356,SEG_000125,CRE_001366,Social,28343,668,11,399.27,3.6,0.0236
PERF_000049,CAM_000180,SEG_002969,CRE_000719,TV,71933,785,12,2373.09,-0.44,0.0109
PERF_000050,CAM_000223,SEG_002586,CRE_000889,Digital,71071,418,5,314.49,0.88,0.0059
PERF_000051,CAM_000276,SEG_001820,CRE_001103,Print,59083,889,17,402.59,1.59,0.0151
PERF_000052,CAM_000316,SEG_000277,CRE_001247,TV,48039,710,19,1810.33,0.31,0.0148
PERF_000053,CAM_000292,SEG_002352,CRE_001165,Social,29469,166,3,290.54,-0.42,0.0057
PERF_000054,CAM_000081,SEG_001739,CRE_000324,Retail,19387,209,2,75.28,0.93,0.0108
PERF_000055,CAM_000374,SEG_002278,CRE_001420,OOH,66286,518,12,412.64,1.65,0.0078
PERF_000056,CAM_000057,SEG_002481,CRE_000228,Email,54589,1508,19,170.86,9.58,0.0276
PERF_000057,CAM_000122,SEG_001640,CRE_000488,Radio,62938,486,13,553.09,2.29,0.0077
PERF_000058,CAM_000244,SEG_001427,CRE_000975,Digital,53001,615,19,116.98,18.45,0.0116
PERF_000059,CAM_000363,SEG_002265,CRE_001387,Retail,30703,387,14,148.58,14.66,0.0126
PERF_000060,CAM_000014,SEG_000034,CRE_000056,Email,57195,1030,38,434.68,5.48,0.018
PERF_000061,CAM_000138,SEG_002857,CRE_000549,Radio,91450,479,11,820.29,0.91,0.0052
PERF_000062,CAM_000258,SEG_001272,CRE_001031,OOH,98994,826,32,584.28,3.98,0.0084
PERF_000063,CAM_000165,SEG_001176,CRE_000659,Social,51030,1113,38,455.06,12.14,0.0218
PERF_000064,CAM_000256,SEG_001997,CRE_001023,OOH,60837,434,7,461.21,0.46,0.0071
PERF_000065,CAM_000399,SEG_001552,CRE_001496,Streaming,43434,825,16,456.58,1.53,0.019
PERF_000066,CAM_000070,SEG_000046,CRE_000279,OOH,48620,784,34,282.48,12.59,0.0161
PERF_000067,CAM_000241,SEG_002505,CRE_000964,Print,91936,1236,54,692.74,13.39,0.0134
PERF_000068,CAM_000130,SEG_000444,CRE_000517,Radio,32499,587,14,219.52,2.28,0.0181
PERF_000069,CAM_000265,SEG_001782,CRE_001057,Streaming,21308,349,15,372.24,6.29,0.0164
PERF_000070,CAM_000013,SEG_000224,CRE_000052,Print,81198,1451,67,606.76,20.27,0.0179
PERF_000071,CAM_000272,SEG_001499,CRE_001085,Radio,75498,625,20,550.65,5.53,0.0083
PERF_000072,CAM_000132,SEG_001059,CRE_000525,Radio,47651,912,21,176.17,7.23,0.0192
PERF_000073,CAM_000275,SEG_001244,CRE_001098,Retail,37652,621,10,316.79,3.29,0.0165
PERF_000074,CAM_000348,SEG_001531,CRE_001344,Streaming,59618,657,22,782.73,0.62,0.011
PERF_000075,CAM_000041,SEG_002260,CRE_000163,Radio,57878,796,26,135.01,9.01,0.0138
PERF_000076,CAM_000360,SEG_002701,CRE_001380,Print,79346,836,10,691.57,1.51,0.0105
PERF_000077,CAM_000211,SEG_000855,CRE_000843,Streaming,86300,1448,61,1534.71,3.88,0.0168
PERF_000078,CAM_000382,SEG_000169,CRE_001444,Email,85951,721,20,303.06,2.55,0.0084
PERF_000079,CAM_000296,SEG_001540,CRE_001184,Social,70516,557,11,445.9,1.86,0.0079
PERF_000080,CAM_000299,SEG_002128,CRE_001194,Print,18689,235,11,72.45,24.37,0.0126
PERF_000081,CAM_000283,SEG_000767,CRE_001132,Retail,8393,87,1,40.9,1.4,0.0104
PERF_000082,CAM_000287,SEG_000214,CRE_001147,Social,98523,703,9,1135.59,-0.54,0.0071
PERF_000083,CAM_000399,SEG_002875,CRE_001495,Email,47384,1294,40,254.37,13.08,0.0273
PERF_000084,CAM_000035,SEG_002260,CRE_000140,Email,36628,482,5,329.33,1.0,0.0132
PERF_000085,CAM_000181,SEG_001753,CRE_000724,Retail,61169,369,15,564.94,2.88,0.006
PERF_000086,CAM_000370,SEG_000211,CRE_001408,Radio,34225,433,9,197.66,3.57,0.0127
PERF_000087,CAM_000079,SEG_001559,CRE_000314,Social,4597,101,4,25.16,15.81,0.0222
PERF_000088,CAM_000300,SEG_000028,CRE_001197,Retail,36679,527,23,179.2,21.96,0.0144
PERF_000089,CAM_000360,SEG_000568,CRE_001378,Social,44847,271,6,392.4,0.63,0.0061
PERF_000090,CAM_000185,SEG_000227,CRE_000738,TV,46731,666,28,1697.0,1.42,0.0143
PERF_000091,CAM_000235,SEG_002852,CRE_000938,Print,44231,542,24,163.75,24.01,0.0123
PERF_000092,CAM_000378,SEG_002347,CRE_001433,Social,77498,536,18,765.3,0.97,0.0069
PERF_000093,CAM_000291,SEG_000623,CRE_001162,TV,93398,734,32,1593.95,2.39,0.0079
PERF_000094,CAM_000400,SEG_002321,CRE_001499,Print,3395,47,0,19.16,-1.0,0.0139
PERF_000095,CAM_000255,SEG_001115,CRE_001019,Streaming,41433,323,11,555.95,0.23,0.0078
PERF_000096,CAM_000332,SEG_000305,CRE_001296,TV,18140,209,5,577.64,-0.26,0.0116
PERF_000097,CAM_000099,SEG_001844,CRE_000394,Email,15295,435,20,127.12,7.04,0.0285
PERF_000098,CAM_000125,SEG_002201,CRE_000499,Streaming,35494,374,6,616.23,0.83,0.0105
PERF_000099,CAM_000107,SEG_000054,CRE_000425,Retail,51577,425,7,467.1,0.91,0.0083
PERF_000100,CAM_000333,SEG_001083,CRE_001297,Digital,48762,447,11,360.51,3.05,0.0092
PERF_000101,CAM_000273,SEG_001696,CRE_001089,TV,99031,1473,34,2856.54,-0.35,0.0149
PERF_000102,CAM_000185,SEG_002931,CRE_000738,Email,76467,1890,88,580.87,11.47,0.0247
PERF_000103,CAM_000168,SEG_000475,CRE_000671,OOH,49820,895,10,136.52,6.11,0.018
PERF_000104,CAM_000368,SEG_000905,CRE_001403,Email,91213,2498,122,513.75,14.67,0.0274
PERF_000105,CAM_000026,SEG_002604,CRE_000102,OOH,60519,866,40,508.46,10.24,0.0143
PERF_000106,CAM_000055,SEG_002966,CRE_000219,Retail,70534,1389,62,205.65,44.36,0.0197
PERF_000107,CAM_000059,SEG_002600,CRE_000234,Retail,36533,417,5,247.44,1.81,0.0114
PERF_000108,CAM_000057,SEG_001035,CRE_000227,OOH,13216,73,3,69.43,3.52,0.0055
PERF_000109,CAM_000203,SEG_000580,CRE_000811,Print,57124,745,18,505.74,2.45,0.013
PERF_000110,CAM_000121,SEG_001363,CRE_000482,Print,29813,371,15,161.12,8.69,0.0125
PERF_000111,CAM_000181,SEG_002543,CRE_000722,TV,23109,345,7,879.73,0.35,0.0149
PERF_000112,CAM_000288,SEG_000955,CRE_001150,Streaming,57083,440,11,1403.52,-0.01,0.0077
PERF_000113,CAM_000320,SEG_001269,CRE_001258,Streaming,70008,1030,14,1104.3,-0.06,0.0147
PERF_000114,CAM_000120,SEG_002117,CRE_000479,Print,29563,463,14,73.27,19.27,0.0157
PERF_000115,CAM_000103,SEG_000847,CRE_000412,Streaming,87279,908,31,973.9,5.26,0.0104
PERF_000116,CAM_000221,SEG_001416,CRE_000883,Streaming,15322,294,13,190.88,7.58,0.0192
PERF_000117,CAM_000097,SEG_001945,CRE_000385,Retail,41202,487,21,342.38,6.17,0.0118
PERF_000118,CAM_000117,SEG_000720,CRE_000465,Streaming,64253,1057,13,1316.16,0.78,0.0165
PERF_000119,CAM_000083,SEG_002284,CRE_000329,Digital,46382,474,11,356.31,5.12,0.0102
PERF_000120,CAM_000352,SEG_001120,CRE_001355,Social,16744,155,5,136.31,4.58,0.0093
PERF_000121,CAM_000156,SEG_002030,CRE_000624,TV,70169,821,22,1100.97,1.35,0.0117
PERF_000122,CAM_000245,SEG_002499,CRE_000977,Digital,76327,861,12,375.73,2.55,0.0113
PERF_000123,CAM_000249,SEG_001800,CRE_000994,TV,51445,353,16,1724.4,-0.17,0.0069
PERF_000124,CAM_000064,SEG_001347,CRE_000255,Streaming,67327,374,8,1010.32,-0.51,0.0056
PERF_000125,CAM_000065,SEG_002714,CRE_000259,Retail,14693,154,2,142.02,0.2,0.0105
PERF_000126,CAM_000129,SEG_002242,CRE_000515,TV,9738,189,8,167.28,4.63,0.0194
PERF_000127,CAM_000356,SEG_002663,CRE_001368,Print,34019,479,7,151.3,2.79,0.0141
PERF_000128,CAM_000253,SEG_001006,CRE_001009,Radio,24490,129,5,123.66,1.6,0.0053
PERF_000129,CAM_000360,SEG_001784,CRE_001379,Streaming,50754,775,17,565.85,4.47,0.0153
PERF_000130,CAM_000097,SEG_000934,CRE_000385,OOH,56765,1046,32,116.8,38.14,0.0184
PERF_000131,CAM_000137,SEG_000826,CRE_000548,Streaming,83482,1032,13,1609.51,-0.01,0.0124
PERF_000132,CAM_000192,SEG_002351,CRE_000767,OOH,85194,556,26,786.25,1.16,0.0065
PERF_000133,CAM_000184,SEG_002388,CRE_000735,Streaming,37670,517,19,579.63,3.26,0.0137
PERF_000134,CAM_000278,SEG_000776,CRE_001112,OOH,28876,310,3,259.2,-0.12,0.0108
PERF_000135,CAM_000219,SEG_001615,CRE_000874,Streaming,68824,395,8,1611.99,-0.37,0.0057
PERF_000136,CAM_000196,SEG_000281,CRE_000784,Email,41754,871,38,321.85,22.24,0.0209
PERF_000137,CAM_000012,SEG_002672,CRE_000048,TV,60726,1148,47,2009.21,1.52,0.0189
PERF_000138,CAM_000175,SEG_001028,CRE_000698,TV,31946,170,1,1015.54,-0.91,0.0053
PERF_000139,CAM_000395,SEG_002922,CRE_001483,Streaming,89352,1264,15,1005.63,0.89,0.0142
PERF_000140,CAM_000109,SEG_000946,CRE_000433,TV,4738,36,1,115.8,0.36,0.0077
PERF_000141,CAM_000234,SEG_000569,CRE_000936,Digital,22800,161,4,159.52,2.56,0.0071
PERF_000142,CAM_000031,SEG_001328,CRE_000122,Retail,28202,202,7,257.34,1.71,0.0072
PERF_000143,CAM_000134,SEG_000197,CRE_000534,OOH,31647,327,7,98.95,6.98,0.0103
PERF_000144,CAM_000188,SEG_002691,CRE_000750,Retail,78293,633,30,667.8,3.56,0.0081
PERF_000145,CAM_000289,SEG_000857,CRE_001154,OOH,25881,427,18,71.75,37.02,0.0165
PERF_000146,CAM_000320,SEG_001421,CRE_001259,Print,39794,285,3,200.51,-0.11,0.0072
PERF_000147,CAM_000317,SEG_000105,CRE_001250,Email,82546,2162,35,333.66,4.42,0.0262
PERF_000148,CAM_000046,SEG_001288,CRE_000184,Retail,86816,1344,19,765.69,1.32,0.0155
PERF_000149,CAM_000316,SEG_000283,CRE_001246,Streaming,92908,743,18,1361.76,-0.24,0.008
PERF_000150,CAM_000081,SEG_002626,CRE_000321,Radio,38818,709,12,90.28,13.87,0.0183
PERF_000151,CAM_000341,SEG_002212,CRE_001323,Digital,22922,158,3,95.36,2.76,0.0069
PERF_000152,CAM_000097,SEG_002524,CRE_000385,Email,85708,1963,92,377.53,43.2,0.0229
PERF_000153,CAM_000290,SEG_002304,CRE_001158,Digital,21396,176,6,78.57,8.39,0.0083
PERF_000154,CAM_000308,SEG_000721,CRE_001222,Retail,82614,964,23,407.27,2.69,0.0117
PERF_000155,CAM_000263,SEG_002110,CRE_001051,Radio,58100,466,8,344.16,1.64,0.008
PERF_000156,CAM_000030,SEG_001860,CRE_000120,Social,11523,227,2,72.32,0.68,0.0197
PERF_000157,CAM_000340,SEG_000920,CRE_001319,Email,65620,1029,18,539.15,4.6,0.0157
PERF_000158,CAM_000038,SEG_000732,CRE_000151,Retail,38649,620,11,322.41,2.18,0.0161
PERF_000159,CAM_000233,SEG_001359,CRE_000930,Retail,74911,943,36,288.3,13.2,0.0126
PERF_000160,CAM_000103,SEG_002132,CRE_000411,Email,91850,809,12,821.21,0.2,0.0088
PERF_000161,CAM_000099,SEG_002553,CRE_000394,Radio,91341,797,32,309.01,5.17,0.0087
PERF_000162,CAM_000251,SEG_000259,CRE_001004,Social,90165,2227,92,829.5,18.68,0.0247
PERF_000163,CAM_000273,SEG_001772,CRE_001091,Digital,99149,749,10,411.23,3.06,0.0076
PERF_000164,CAM_000054,SEG_001701,CRE_000216,TV,72505,413,19,1158.08,0.35,0.0057
PERF_000165,CAM_000084,SEG_000083,CRE_000333,Digital,14447,175,3,58.21,4.39,0.0122
PERF_000166,CAM_000050,SEG_000733,CRE_000198,Print,79159,1003,15,255.39,5.06,0.0127
PERF_000167,CAM_000051,SEG_001063,CRE_000203,Retail,17589,334,8,67.64,7.27,0.019
PERF_000168,CAM_000059,SEG_000523,CRE_000234,Retail,35613,348,16,101.54,22.15,0.0098
PERF_000169,CAM_000165,SEG_001093,CRE_000660,Streaming,81985,892,28,1361.68,1.73,0.0109
PERF_000170,CAM_000041,SEG_000133,CRE_000161,Streaming,84737,872,29,1111.82,1.96,0.0103
PERF_000171,CAM_000096,SEG_001223,CRE_000382,Social,23923,457,11,200.4,8.27,0.0191
PERF_000172,CAM_000317,SEG_001698,CRE_001251,TV,28213,222,5,942.38,-0.17,0.0079
PERF_000173,CAM_000018,SEG_000355,CRE_000072,Radio,59252,369,10,201.93,6.7,0.0062
PERF_000174,CAM_000182,SEG_000411,CRE_000726,Retail,45660,460,12,452.22,2.55,0.0101
PERF_000175,CAM_000224,SEG_001923,CRE_000896,Digital,83575,736,33,607.85,4.4,0.0088
PERF_000176,CAM_000012,SEG_001165,CRE_000045,Social,2906,50,2,30.05,7.41,0.0175
PERF_000177,CAM_000310,SEG_000321,CRE_001229,Radio,2631,32,1,15.69,7.63,0.0122
PERF_000178,CAM_000292,SEG_001606,CRE_001167,Social,88540,1371,19,946.93,1.95,0.0155
PERF_000179,CAM_000291,SEG_002571,CRE_001164,Retail,74657,1459,67,424.13,16.11,0.0196
PERF_000180,CAM_000121,SEG_000710,CRE_000481,Streaming,79462,1226,12,963.9,-0.21,0.0154
PERF_000181,CAM_000058,SEG_001380,CRE_000232,OOH,43843,561,14,164.06,15.07,0.0128
PERF_000182,CAM_000108,SEG_001856,CRE_000432,Radio,27786,223,10,63.19,18.89,0.008
PERF_000183,CAM_000313,SEG_002430,CRE_001239,Print,54529,1060,31,462.09,11.77,0.0194
PERF_000184,CAM_000277,SEG_001512,CRE_001105,Retail,28856,174,4,268.66,-0.12,0.006
PERF_000185,CAM_000374,SEG_002750,CRE_001422,Print,47469,851,34,210.65,21.98,0.0179
PERF_000186,CAM_000106,SEG_001891,CRE_000424,Print,97214,1016,42,776.97,2.34,0.0105
PERF_000187,CAM_000182,SEG_001393,CRE_000725,OOH,65916,395,4,239.89,-0.03,0.006
PERF_000188,CAM_000074,SEG_002709,CRE_000295,OOH,44324,602,7,415.11,1.22,0.0136
PERF_000189,CAM_000170,SEG_002369,CRE_000678,Email,51206,1192,40,507.41,13.2,0.0233
PERF_000190,CAM_000105,SEG_001227,CRE_000418,Retail,22116,173,3,93.16,2.22,0.0078
PERF_000191,CAM_000087,SEG_000416,CRE_000346,Radio,93694,1690,79,512.12,16.53,0.018
PERF_000192,CAM_000003,SEG_002633,CRE_000011,Email,15088,325,12,35.94,44.46,0.0215
PERF_000193,CAM_000398,SEG_002952,CRE_001493,Streaming,42545,291,14,900.99,0.46,0.0069
PERF_000194,CAM_000031,SEG_001468,CRE_000123,Email,46699,253,3,183.86,0.47,0.0054
PERF_000195,CAM_000140,SEG_002578,CRE_000559,Digital,79827,948,43,534.97,6.09,0.0119
PERF_000196,CAM_000088,SEG_000749,CRE_000352,Print,40742,480,10,168.49,3.92,0.0118
PERF_000197,CAM_000092,SEG_002355,CRE_000366,Retail,45639,373,17,236.53,11.73,0.0082
PERF_000198,CAM_000130,SEG_000519,CRE_000520,TV,71368,1378,38,2333.44,0.49,0.0193
PERF_000199,CAM_000360,SEG_001505,CRE_001378,Social,75868,1440,61,990.19,5.78,0.019
PERF_000200,CAM_000173,SEG_002668,CRE_000692,Digital,60271,779,37,276.95,22.84,0.0129
PERF_000201,CAM_000292,SEG_000079,CRE_001165,Streaming,72838,1071,15,894.9,1.81,0.0147
PERF_000202,CAM_000200,SEG_001574,CRE_000799,Streaming,35034,639,26,632.48,4.79,0.0183
PERF_000203,CAM_000001,SEG_002000,CRE_000004,Digital,2049,22,0,11.31,-1.0,0.0111
PERF_000204,CAM_000361,SEG_001784,CRE_001381,Social,47917,1070,15,637.61,1.3,0.0223
PERF_000205,CAM_000039,SEG_000318,CRE_000154,OOH,45771,674,13,252.61,2.62,0.0147
PERF_000206,CAM_000105,SEG_001435,CRE_000418,Social,66386,1126,11,590.35,0.79,0.017
PERF_000207,CAM_000121,SEG_002651,CRE_000483,OOH,63730,1199,38,219.27,17.23,0.0188
PERF_000208,CAM_000045,SEG_001914,CRE_000177,OOH,19134,105,1,73.54,0.14,0.0055
PERF_000209,CAM_000103,SEG_000031,CRE_000409,Digital,45127,654,21,308.99,5.17,0.0145
PERF_000210,CAM_000035,SEG_001030,CRE_000138,Social,31918,204,2,188.78,0.19,0.0064
PERF_000211,CAM_000317,SEG_000929,CRE_001250,Retail,71698,1165,43,233.96,19.56,0.0163
PERF_000212,CAM_000102,SEG_001771,CRE_000405,Streaming,49228,469,8,930.17,0.51,0.0095
PERF_000213,CAM_000106,SEG_000121,CRE_000423,Retail,91625,1239,24,444.04,4.79,0.0135
PERF_000214,CAM_000101,SEG_001404,CRE_000402,Print,57636,717,13,256.42,8.24,0.0124
PERF_000215,CAM_000101,SEG_002892,CRE_000401,Radio,11940,193,4,40.0,11.73,0.0162
PERF_000216,CAM_000070,SEG_002617,CRE_000278,Social,19245,435,16,256.1,6.92,0.0226
PERF_000217,CAM_000396,SEG_001315,CRE_001486,Digital,94938,1040,42,513.5,11.83,0.011
PERF_000218,CAM_000209,SEG_002442,CRE_000833,Radio,58426,691,22,583.57,2.14,0.0118
PERF_000219,CAM_000062,SEG_000723,CRE_000245,OOH,1016,20,0,2.08,-1.0,0.0197
PERF_000220,CAM_000074,SEG_000362,CRE_000295,Social,91711,2192,86,528.53,13.99,0.0239
PERF_000221,CAM_000158,SEG_000638,CRE_000632,Retail,61321,769,7,586.99,1.19,0.0125
PERF_000222,CAM_000055,SEG_000060,CRE_000220,Print,26798,190,6,259.11,2.42,0.0071
PERF_000223,CAM_000059,SEG_002340,CRE_000236,Retail,14396,258,9,43.23,39.03,0.018
PERF_000224,CAM_000204,SEG_002575,CRE_000813,Social,55186,1307,21,790.57,3.24,0.0237
PERF_000225,CAM_000208,SEG_000768,CRE_000832,Retail,90681,879,18,462.49,3.39,0.0097
PERF_000226,CAM_000247,SEG_002654,CRE_000986,Print,63752,949,24,448.6,9.11,0.0149
PERF_000227,CAM_000307,SEG_001583,CRE_001221,Email,54521,1432,14,452.72,3.75,0.0263
PERF_000228,CAM_000113,SEG_000845,CRE_000452,Digital,64987,724,23,442.86,7.2,0.0112
PERF_000229,CAM_000049,SEG_000553,CRE_000194,OOH,1152,8,0,8.44,-1.0,0.0076
PERF_000230,CAM_000291,SEG_002470,CRE_001161,Print,10242,96,3,71.54,6.49,0.0094
PERF_000231,CAM_000062,SEG_001442,CRE_000245,Retail,97304,1157,31,290.5,10.99,0.0119
PERF_000232,CAM_000107,SEG_000171,CRE_000428,Email,38114,857,19,286.94,6.27,0.0225
PERF_000233,CAM_000264,SEG_001716,CRE_001056,Digital,21668,318,9,84.08,10.84,0.0147
PERF_000234,CAM_000044,SEG_001257,CRE_000174,TV,75135,1405,35,2390.07,0.54,0.0187
PERF_000235,CAM_000324,SEG_000696,CRE_001272,Social,21712,426,20,206.65,12.54,0.0196
PERF_000236,CAM_000259,SEG_002242,CRE_001034,Radio,6673,75,0,16.27,-1.0,0.0114
PERF_000237,CAM_000147,SEG_000912,CRE_000585,OOH,97562,1712,67,789.39,4.15,0.0176
PERF_000238,CAM_000026,SEG_000754,CRE_000101,Digital,62440,444,19,368.39,8.57,0.0071
PERF_000239,CAM_000327,SEG_002164,CRE_001281,Radio,84680,1151,26,760.2,1.21,0.0136
PERF_000240,CAM_000072,SEG_002815,CRE_000286,Digital,5612,54,0,12.76,-1.0,0.0096
PERF_000241,CAM_000284,SEG_001523,CRE_001134,Digital,30175,218,6,182.69,0.98,0.0072
PERF_000242,CAM_000062,SEG_002863,CRE_000246,Social,83113,1686,58,828.74,10.28,0.0203
PERF_000243,CAM_000278,SEG_000998,CRE_001109,OOH,79854,587,18,458.54,6.73,0.0074
PERF_000244,CAM_000081,SEG_002186,CRE_000321,Social,52314,269,8,414.88,0.34,0.0052
PERF_000245,CAM_000209,SEG_001570,CRE_000836,Radio,14638,140,5,122.52,3.35,0.0096
PERF_000246,CAM_000139,SEG_001883,CRE_000555,Social,4098,94,1,21.44,5.02,0.023
PERF_000247,CAM_000362,SEG_001268,CRE_001385,Email,84357,1177,38,591.34,7.88,0.014
PERF_000248,CAM_000225,SEG_002880,CRE_000900,Digital,7600,51,1,18.81,3.32,0.0067
PERF_000249,CAM_000266,SEG_000020,CRE_001061,Retail,32144,605,11,95.05,9.81,0.0188
PERF_000250,CAM_000297,SEG_000345,CRE_001187,Email,16229,448,5,157.11,2.68,0.0276
PERF_000251,CAM_000128,SEG_001681,CRE_000511,Social,3771,66,3,56.52,7.65,0.0175
PERF_000252,CAM_000293,SEG_001146,CRE_001171,Radio,7920,142,3,69.5,2.26,0.018
PERF_000253,CAM_000304,SEG_000397,CRE_001210,Digital,75760,801,28,154.24,27.31,0.0106
PERF_000254,CAM_000344,SEG_001151,CRE_001331,Retail,15611,264,6,115.42,6.21,0.0169
PERF_000255,CAM_000210,SEG_002802,CRE_000837,Digital,36783,489,15,189.7,6.87,0.0133
PERF_000256,CAM_000347,SEG_000470,CRE_001341,Print,31493,220,6,112.32,1.78,0.007
PERF_000257,CAM_000164,SEG_003016,CRE_000656,OOH,94313,1411,18,371.89,4.4,0.015
PERF_000258,CAM_000090,SEG_000651,CRE_000359,Print,96599,967,20,748.62,0.85,0.01
PERF_000259,CAM_000108,SEG_002188,CRE_000431,Email,46865,351,9,211.76,4.42,0.0075
PERF_000260,CAM_000211,SEG_000486,CRE_000843,Retail,37443,588,15,224.79,10.4,0.0157
PERF_000261,CAM_000098,SEG_000436,CRE_000390,Digital,90735,1279,15,672.37,2.71,0.0141
PERF_000262,CAM_000313,SEG_000729,CRE_001237,Streaming,45359,581,25,1036.71,3.32,0.0128
PERF_000263,CAM_000062,SEG_002807,CRE_000248,Streaming,73209,769,10,864.68,1.22,0.0105
PERF_000264,CAM_000147,SEG_000385,CRE_000585,Print,6982,48,1,34.67,4.29,0.007
PERF_000265,CAM_000305,SEG_002597,CRE_001213,Print,67764,504,16,188.32,6.7,0.0074
PERF_000266,CAM_000276,SEG_000198,CRE_001102,Streaming,19426,299,7,260.64,0.67,0.0154
PERF_000267,CAM_000196,SEG_002029,CRE_000784,Print,7431,53,0,48.21,-1.0,0.0071
